id,runtime,budget,revenue,status,tagline,director,cast_top3,collection_name,production_countries
1536233,76,0,0,Released,,"Sergio Gonzalez, Brandon Piskorik, Felipe Vargas, Corey Benson Powers, Brian Sepanzyk","Valeria San Martin, Justina Ceballos, Daniela Flombaum",,New Zealand
1288341,87,0,0,Released,,Sandra Sciberras,"라다 미첼, 팀 로스, Annabel Wolfe",,"Australia, United Kingdom"
204407,113,0,0,Released,,Alberto Bevilacqua,"Monica Guerritore, Rodolfo Bigotti, Stanko Molnar",,Italy
1694978,87,0,0,Released,,Jonathan Zuck,"앨리스 이브, Eric Michael Cole, Jim Klock",,"United States of America, Malta"
1430077,107,5000000,23563104,Released,,다미안 맥카시,"애덤 스콧, Peter Coonan, 데이비드 윌모트",,"United States of America, Ireland, United Arab Emirates, Hong Kong"
1311031,155,20000000,733030221,Released,결전의 포문이 열린다,소토자키 하루오,"하나에 나츠키, 사쿠라이 타카히로, 이시다 아키라",극장판 귀멸의 칼날 시리즈,Japan
1241752,113,1,2,Released,,Jerry Lopez Sineneng,"크리스틴 버마스, Gold Aceron, VR Relosa",,Philippines
1390300,105,0,2055131,Released,,요르마 타코니,"사마라 위빙, 제이슨 시걸, 티모시 올리펀트",,"United States of America, Norway, Finland"
1092936,123,4025000,377925,Released,,Paolo Strippoli,"Michele Riondino, Giulio Feltri, Paolo Pierobon",,"Italy, Slovenia"
1290821,108,50000000,53933639,Released,그를 찾아낸 순간 처절한 응징이 시작된다,Ric Roman Waugh,"제이슨 스타뎀, 보디 래 브레스나크, 나오미 애키",,"United States of America, United Kingdom"
1560681,110,0,0,Released,,Adrian Panek,"Jakub Gierszał, Marianna Zydek, Andrzej Chyra",Kolory zła - Kolekcja,Poland
1486860,0,0,0,Released,,Vikram Bhatt,"Mimoh Chakraborty, Chetna Pande, Shruthi Prakash",,India
